Falling_In_Love 2NE1:Falling_In_Love.txt
Nude_Beach_A-Go-Go Azealia_Banks:Nude_Beach_A-Go-Go.txt
One_Touch Baauer:One_Touch.txt
Beggin_For_Thread Banks:Beggin_For_Thread.txt
Bite_Down Bastille:Bite_Down.txt
Pompeii Bastille:Pompeii.txt
Remains Bastille:Remains.txt
The_Driver Bastille:The_Driver.txt
Torn_Apart Bastille:Torn_Apart.txt
I'm_Gonna_Show_You_Crazy Bebe_Rexha:I'm_Gonna_Show_You_Crazy.txt
Can't_Stop_Dancing Becky_G:Can't_Stop_Dancing.txt
All_Of_You Betty_Who:All_Of_You.txt
Bow_Down BeyoncÃ©:Bow_Down.txt
Ghost BeyoncÃ©:Ghost.txt
Heartbeat BeyoncÃ©:Heartbeat.txt
XO BeyoncÃ©:XO.txt
All_Your_Fault Big_Sean:All_Your_Fault.txt
Blessings Big_Sean:Blessings.txt
Dark_Sky Big_Sean:Dark_Sky.txt
Deep Big_Sean:Deep.txt
I_Don't_F**k_With_You Big_Sean:I_Don't_F**k_With_You.txt
One_Man_Can_Change_The_World Big_Sean:One_Man_Can_Change_The_World.txt
Play_No_Games Big_Sean:Play_No_Games.txt
Stay_Down Big_Sean:Stay_Down.txt
Black_Lake Bjork:Black_Lake.txt
Go_Out Blur:Go_Out.txt
Not_For_Long Bob:Not_For_Long.txt
Heavenly_Father Bon_Iver:Heavenly_Father.txt
Let_It_Ride Brantley_Gilbert:Let_It_Ride.txt
Failure Breaking_Benjamin:Failure.txt
Drown Bring_Me_The_Horizon:Drown.txt
Many_Rivers_To_Cross Bryan_Adams:Many_Rivers_To_Cross.txt
Sunny Bryan_Adams:Sunny.txt
You_Shook_Me Bryan_Adams:You_Shook_Me.txt
Loop_De_Li Bryan_Ferry:Loop_De_Li.txt
The_Only_Way_Out Bush:The_Only_Way_Out.txt
Blame Calvin_Harris:Blame.txt
Faith Calvin_Harris:Faith.txt
Open_Wide Calvin_Harris:Open_Wide.txt
Outside Calvin_Harris:Outside.txt
Summer Calvin_Harris:Summer.txt
I_Really_Like_You Carly_Rae_Jepsen:I_Really_Like_You.txt
Keep_Us_Safe Carrie_Underwood:Keep_Us_Safe.txt
Little_Toy_Guns Carrie_Underwood:Little_Toy_Guns.txt
Something_In_The_Water Carrie_Underwood:Something_In_The_Water.txt
Adore Cashmere_Cat:Adore.txt
Love_Again Cedric_Gervais:Love_Again.txt
Body_Of_My_Own Charli_XCX:Body_Of_My_Own.txt
Break_The_Rules Charli_XCX:Break_The_Rules.txt
Caught_In_The_Middle Charli_XCX:Caught_In_The_Middle.txt
Die_Tonight Charli_XCX:Die_Tonight.txt
Doing_It Charli_XCX:Doing_It.txt
Famous Charli_XCX:Famous.txt
Sucker Charli_XCX:Sucker.txt
Ride Chase_Rice:Ride.txt
This_Is_Not_A_Game Chemical_Brothers:This_Is_Not_A_Game.txt
Sirens Cher_Lloyd:Sirens.txt
I_Don't_Care Cheryl_Cole:I_Don't_Care.txt
Only_Human Cheryl_Cole:Only_Human.txt
Goodbye_Means_Hello Cheryl:Goodbye_Means_Hello.txt
Aston_Martin Chief_Keef:Aston_Martin.txt
Late_Night_In_Kauai Childish_Gambino:Late_Night_In_Kauai.txt
Poke Childish_Gambino:Poke.txt
Pop_Thieves Childish_Gambino:Pop_Thieves.txt
Retro Childish_Gambino:Retro.txt
Secret_Track Childish_Gambino:Secret_Track.txt
Autumn_Leaves Chris_Brown:Autumn_Leaves.txt
Bitches_N_Marijuana Chris_Brown:Bitches_N_Marijuana.txt
Came_To_Do Chris_Brown:Came_To_Do.txt
Dangerous Chris_Brown:Dangerous.txt
Don't_Be_Gone_Too_Long Chris_Brown:Don't_Be_Gone_Too_Long.txt
Drown_In_It Chris_Brown:Drown_In_It.txt
Drunk_Texting Chris_Brown:Drunk_Texting.txt
Five_More_Hours Chris_Brown:Five_More_Hours.txt
I_Bet Chris_Brown:I_Bet.txt
Lost_In_Ya_Love Chris_Brown:Lost_In_Ya_Love.txt
New_Flame Chris_Brown:New_Flame.txt
See_You_Around Chris_Brown:See_You_Around.txt
Songs_On_12_Play Chris_Brown:Songs_On_12_Play.txt
Stereotype Chris_Brown:Stereotype.txt
Ayo Chris_Brown_X_Tyga:Ayo.txt
Burning_Gold Christina_Perri:Burning_Gold.txt
Lonely_Eyes Chris_Young:Lonely_Eyes.txt
Get_Away Chvrches:Get_Away.txt
Real_Love Clean_Bandit:Real_Love.txt
Flower Cody_Simpson:Flower.txt
Blaze Colbie_Caillat:Blaze.txt
If_You_Love_Me_Let_Me_Go Colbie_Caillat:If_You_Love_Me_Let_Me_Go.txt
Live_It_Up Colbie_Caillat:Live_It_Up.txt
Never_Getting_Over_You Colbie_Caillat:Never_Getting_Over_You.txt
Try Colbie_Caillat:Try.txt
Always_In_My_Head Coldplay:Always_In_My_Head.txt
Magic Coldplay:Magic.txt
Oceans Coldplay:Oceans.txt
O Coldplay:O.txt
Ain't_Worth_the_Whiskey Cole_Swindell:Ain't_Worth_the_Whiskey.txt
The_Greatest_Bastard Damien_Rice:The_Greatest_Bastard.txt
Homegrown_Honey Darius_Rucker:Homegrown_Honey.txt
Glorious David_Archuleta:Glorious.txt
Sue David_Bowie:Sue.txt
Bang_My_Head David_Guetta:Bang_My_Head.txt
Dangerous_Part_2 David_Guetta:Dangerous_Part_2.txt
Goodbye_Friend David_Guetta:Goodbye_Friend.txt
Hey_Mama David_Guetta:Hey_Mama.txt
Lift_Me_Up David_Guetta:Lift_Me_Up.txt
Lovers_On_The_Sun David_Guetta:Lovers_On_The_Sun.txt
No_Money_No_Love David_Guetta:No_Money_No_Love.txt
What_I_Did_For_Love David_Guetta:What_I_Did_For_Love.txt
Jetlag DENA:Jetlag.txt
Gimmie_Some Dev:Gimmie_Some.txt
The_Night_Is_Young Dev:The_Night_Is_Young.txt
Get_Low Dillon_Francis_&_DJ_Snake:Get_Low.txt
You_Know_You_Like_It DJ_Snake_&_AlunaGeorge:You_Know_You_Like_It.txt
0_To_100 Drake:0_To_100.txt
6_God Drake:6_God.txt
6_Man Drake:6_Man.txt
6PM_In_New_York Drake:6PM_In_New_York.txt
Company Drake:Company.txt
Energy Drake:Energy.txt
Gonorrhea Drake:Gonorrhea.txt
How_About_Now Drake:How_About_Now.txt
Jungle Drake:Jungle.txt
Know_Yourself Drake:Know_Yourself.txt
Legend Drake:Legend.txt
Madonna Drake:Madonna.txt
No_Tellin' Drake:No_Tellin'.txt
Now_&amp;_Forever Drake:Now_&amp;_Forever.txt
Preach Drake:Preach.txt
Same_Mistakes Drake:Same_Mistakes.txt
Star67 Drake:Star67.txt
Used_To Drake:Used_To.txt
Wednesday_Night_Interlude Drake:Wednesday_Night_Interlude.txt
With_You Drake:With_You.txt
You_&amp;_The_6 Drake:You_&amp;_The_6.txt
Fruition Dream:Fruition.txt
That's_My_Shit Dream:That's_My_Shit.txt
Bright Echosmith:Bright.txt
Bloodstream Ed_Sheeran:Bloodstream.txt
Even_My_Dad_Does_Sometimes Ed_Sheeran:Even_My_Dad_Does_Sometimes.txt
Everything_You_Are Ed_Sheeran:Everything_You_Are.txt
Friends Ed_Sheeran:Friends.txt
Make_It_Rain Ed_Sheeran:Make_It_Rain.txt
Nina Ed_Sheeran:Nina.txt
One Ed_Sheeran:One.txt
Runaway Ed_Sheeran:Runaway.txt
Shirtsleeves Ed_Sheeran:Shirtsleeves.txt
Sing Ed_Sheeran:Sing.txt
Take_It_Back Ed_Sheeran:Take_It_Back.txt
The_Man Ed_Sheeran:The_Man.txt
Thinking_Out_Loud Ed_Sheeran:Thinking_Out_Loud.txt
Gravity Ella_Eyre:Gravity.txt
Ghost Ella_Henderson:Ghost.txt
Burn Ellie_Goulding:Burn.txt
Love_Me_Like_You_Do Ellie_Goulding:Love_Me_Like_You_Do.txt
Slow_Down Ellie_Goulding:Slow_Down.txt
Detroit_Vs._Everybody Eminem:Detroit_Vs._Everybody.txt
Guts_Over_Fear Eminem:Guts_Over_Fear.txt
Shady_XV_Cypher Eminem:Shady_XV_Cypher.txt
Wandering_Star Empire_Of_The_Sun:Wandering_Star.txt
El_Perdedor Enrique_Iglesias:El_Perdedor.txt
Noche_Y_DÃ­a Enrique_Iglesias:Noche_Y_DÃ­a.txt
Never_Let_Go_Of_The_Microscope Enter_Shikari:Never_Let_Go_Of_The_Microscope.txt
The_Last_Garrison Enter_Shikari:The_Last_Garrison.txt
What_You_Want Eric_Bellinger:What_You_Want.txt
She_Don't_Love_You Eric_Paslay:She_Don't_Love_You.txt
War_Of_Kings Europe:War_Of_Kings.txt
Love,_Love,_Love Exo:Love,_Love,_Love.txt
Moonlight Exo:Moonlight.txt
Thunder Exo:Thunder.txt
She_Wildin' Fabolous:She_Wildin'.txt
Die_For_You Falling_In_Reverse:Die_For_You.txt
Get_Me_Out Falling_In_Reverse:Get_Me_Out.txt
Guillotine_IV Falling_In_Reverse:Guillotine_IV.txt
Just_Like_You Falling_In_Reverse:Just_Like_You.txt
Sexy_Drug Falling_In_Reverse:Sexy_Drug.txt
The_Bitter_End Falling_In_Reverse:The_Bitter_End.txt
Wait_And_See Falling_In_Reverse:Wait_And_See.txt
Centuries Fall_Out_Boy:Centuries.txt
Favorite_Record Fall_Out_Boy:Favorite_Record.txt
Immortals Fall_Out_Boy:Immortals.txt
Irresistible Fall_Out_Boy:Irresistible.txt
Jet_Pack_Blues Fall_Out_Boy:Jet_Pack_Blues.txt
Only_The_Bulls Fall_Out_Boy:Only_The_Bulls.txt
The_Kids_Aren't_Alright Fall_Out_Boy:The_Kids_Aren't_Alright.txt
Twin_Skeletons Fall_Out_Boy:Twin_Skeletons.txt
Uma_Thurman Fall_Out_Boy:Uma_Thurman.txt
Trap_Queen Fetty_Wap:Trap_Queen.txt
Everlasting_Love Fifth_Harmony:Everlasting_Love.txt
Like_Mariah Fifth_Harmony:Like_Mariah.txt
Reflection Fifth_Harmony:Reflection.txt
Sledgehammer Fifth_Harmony:Sledgehammer.txt
Suga_Mama Fifth_Harmony:Suga_Mama.txt
This_Is_How_We_Roll Fifth_Harmony:This_Is_How_We_Roll.txt
Top_Down Fifth_Harmony:Top_Down.txt
Worth_It Fifth_Harmony:Worth_It.txt
Glass_&amp;_Patron FKA_Twigs:Glass_&amp;_Patron.txt
GDFR Flo_Rida:GDFR.txt
Angel Florida_Georgia_Line:Angel.txt
Confession Florida_Georgia_Line:Confession.txt
Dirt Florida_Georgia_Line:Dirt.txt
Every_Night Florida_Georgia_Line:Every_Night.txt
Good_Good Florida_Georgia_Line:Good_Good.txt
Like_You_Ain't_Even_Gone Florida_Georgia_Line:Like_You_Ain't_Even_Gone.txt
Smile Florida_Georgia_Line:Smile.txt
Smoke Florida_Georgia_Line:Smoke.txt
Sun_Daze Florida_Georgia_Line:Sun_Daze.txt
My_House Flo-Rida:My_House.txt
Once_In_A_Lifetime Flo-Rida:Once_In_A_Lifetime.txt
Too_Young_To_Remember Florrie:Too_Young_To_Remember.txt
Congregation Foo_Fighters:Congregation.txt
In_The_Clear Foo_Fighters:In_The_Clear.txt
Outside Foo_Fighters:Outside.txt
Something_From_Nothing Foo_Fighters:Something_From_Nothing.txt
Memrise Frank_Ocean:Memrise.txt
Mad_Luv Future:Mad_Luv.txt
Monster Future:Monster.txt
Fire Gavin_Degraw:Fire.txt
Colors Genevieve:Colors.txt
Budapest George_Ezra:Budapest.txt
Brother Gerard_Way:Brother.txt
Drugstore_Perfume Gerard_Way:Drugstore_Perfume.txt
No_Shows Gerard_Way:No_Shows.txt
Crocodile_Tears Grades:Crocodile_Tears.txt
Thrilla_In_Manila Greyson_Chance:Thrilla_In_Manila.txt
Lighthouse GRL:Lighthouse.txt
Ugly_Heart GRL:Ugly_Heart.txt
Changes G-Unit:Changes.txt
Ease_Up G-Unit:Ease_Up.txt
Baby_Don't_Lie Gwen_Stefani:Baby_Don't_Lie.txt
Spark_The_Fire Gwen_Stefani:Spark_The_Fire.txt
Apocalyptic Halestorm:Apocalyptic.txt
Pinned_You_Down Headstones:Pinned_You_Down.txt
Noel Hillsong_Young_&amp;_Free:Noel.txt
Hit_The_Ground Hinder:Hit_The_Ground.txt
Day_Of_The_Dead Hollywood_Undead:Day_Of_The_Dead.txt
Usual_Suspects Hollywood_Undead:Usual_Suspects.txt
Angel_Of_Small_Death_&amp;_The_Codeine_Scene Hozier:Angel_Of_Small_Death_&amp;_The_Codeine_Scene.txt
In_The_Woods_Somewhere Hozier:In_The_Woods_Somewhere.txt
Jackie_And_Wilson Hozier:Jackie_And_Wilson.txt
Run Hozier:Run.txt
Take_Me_to_Church Hozier:Take_Me_to_Church.txt
Love_Too_Much Hunter_Hayes:Love_Too_Much.txt
Red Hyuna:Red.txt
Fancy Iggy_Azalea:Fancy.txt
Iggy_Szn Iggy_Azalea:Iggy_Szn.txt
Impossible_Is_Nothing Iggy_Azalea:Impossible_Is_Nothing.txt
Just_Asking Iggy_Azalea:Just_Asking.txt
Trouble Iggy_Azalea:Trouble.txt
I_Don't_Sell_Molly_No_More ILoveMakonnen:I_Don't_Sell_Molly_No_More.txt
Too_Much ILoveMakonnen:Too_Much.txt
Dream Imagine_Dragons:Dream.txt
Friction Imagine_Dragons:Friction.txt
Gold Imagine_Dragons:Gold.txt
Hopeless_Opus Imagine_Dragons:Hopeless_Opus.txt
I_Bet_My_Life Imagine_Dragons:I_Bet_My_Life.txt
It_Comes_Back_To_You Imagine_Dragons:It_Comes_Back_To_You.txt
Polaroid Imagine_Dragons:Polaroid.txt
Shots Imagine_Dragons:Shots.txt
Smoke_+_Mirrors Imagine_Dragons:Smoke_+_Mirrors.txt
The_Fall Imagine_Dragons:The_Fall.txt
Warriors Imagine_Dragons:Warriors.txt
Fata_Din_Randul_Trei Inna:Fata_Din_Randul_Trei.txt
All_The_Rage_Back_Home Interpol:All_The_Rage_Back_Home.txt
My_Desire Interpol:My_Desire.txt
What_Is_What Interpol:What_Is_What.txt
Cheat_Codes Jack_And_Jack:Cheat_Codes.txt
Groove Jack_And_Jack:Groove.txt
Tides Jack_And_Jack:Tides.txt
Where_Are_U_Now Jack_U:Where_Are_U_Now.txt
Melancholy Jaden_Smith:Melancholy.txt
Lion_Heart Jake_Miller:Lion_Heart.txt
Bonfire_Heart James_Blunt:Bonfire_Heart.txt
When_I_Find_Love_Again James_Blunt:When_I_Find_Love_Again.txt
The_Hanging_Tree James_Newton_Howard:The_Hanging_Tree.txt
You_Changed_Me Jamie_Foxx:You_Changed_Me.txt
Burnin'_It_Down Jason_Aldean:Burnin'_It_Down.txt
Don't_Change_Gone Jason_Aldean:Don't_Change_Gone.txt
Gonna_Know_We_Were_Here Jason_Aldean:Gonna_Know_We_Were_Here.txt
If_My_Truck_Could_Talk Jason_Aldean:If_My_Truck_Could_Talk.txt
I_Took_It_With_Me Jason_Aldean:I_Took_It_With_Me.txt
Just_Gettin'_Started Jason_Aldean:Just_Gettin'_Started.txt
Laid_Back Jason_Aldean:Laid_Back.txt
Miss_That_Girl Jason_Aldean:Miss_That_Girl.txt
Old_Boots,_New_Dirt Jason_Aldean:Old_Boots,_New_Dirt.txt
Show_You_Off Jason_Aldean:Show_You_Off.txt
Too_Fast Jason_Aldean:Too_Fast.txt
Tryin'_To_Love_Me Jason_Aldean:Tryin'_To_Love_Me.txt
Two_Night_Town Jason_Aldean:Two_Night_Town.txt
Bubblegum Jason_DeRulo:Bubblegum.txt
Want_To_Want_Me Jason_DeRulo:Want_To_Want_Me.txt
Back_To_The_Earth Jason_Mraz:Back_To_The_Earth.txt
Best_Friend Jason_Mraz:Best_Friend.txt
Everywhere Jason_Mraz:Everywhere.txt
Long_Drive Jason_Mraz:Long_Drive.txt
Out_Of_My_Hands Jason_Mraz:Out_Of_My_Hands.txt
Road_To_Perdition Jay_Electronica:Road_To_Perdition.txt
Mascara Jazmine_Sullivan:Mascara.txt
03'_Adolescence J_Cole:03'_Adolescence.txt
Apparently J_Cole:Apparently.txt
A_Tale_Of_2_Citiez J_Cole:A_Tale_Of_2_Citiez.txt
Be_Free J_Cole:Be_Free.txt
Fire_Squad J_Cole:Fire_Squad.txt
G.O.M.D J_Cole:G.O.M.D.txt
Hello J_Cole:Hello.txt
January_28th J_Cole:January_28th.txt
Love_Yourz J_Cole:Love_Yourz.txt
No_Role_Modelz J_Cole:No_Role_Modelz.txt
St._Tropez J_Cole:St._Tropez.txt
Wet_Dreamz J_Cole:Wet_Dreamz.txt
He_Ain't_Goin'_Nowhere Jennifer_Hudson:He_Ain't_Goin'_Nowhere.txt
First_Love Jennifer_Lopez:First_Love.txt
Can_I_Get_A_Moment Jessica_Mauboy:Can_I_Get_A_Moment.txt
Burnin'_Up Jessie_J:Burnin'_Up.txt
Masterpiece Jessie_J:Masterpiece.txt
You've_Lost_That_Lovin'_Feelin' Jessie_J:You've_Lost_That_Lovin'_Feelin'.txt
Kind_Ofâ¦_Sometimesâ¦_Maybe Jessie_Ware:Kind_Ofâ¦_Sometimesâ¦_Maybe.txt
King_Of_All_The_Earth Jesus_Culture:King_Of_All_The_Earth.txt
Ew! Jimmy_Fallon:Ew!.txt
The_Way_You_Love_Me Joe_Budden:The_Way_You_Love_Me.txt
Run_Run_Rudolph Joe_Perry:Run_Run_Rudolph.txt
Teach_Me Joey_Badass:Teach_Me.txt
Glory John_Legend:Glory.txt
Double_Tap Jordin_Sparks:Double_Tap.txt
It_Ain't_You Jordin_Sparks:It_Ain't_You.txt
All_I_Need Juicy_J:All_I_Need.txt
What_Goes_Around_Comes_Around Justin_Timberlake:What_Goes_Around_Comes_Around.txt
Experience Kacy_Hill:Experience.txt
Falling_Awake Kaiser_Chiefs:Falling_Awake.txt
All_Day Kanye_West:All_Day.txt
Bound_2 Kanye_West:Bound_2.txt
Hold_My_Liquor Kanye_West:Hold_My_Liquor.txt
Why_U_Mad Kanye_West:Why_U_Mad.txt
Wolves Kanye_West:Wolves.txt
No_Flex_Zone_Remix Karmin:No_Flex_Zone_Remix.txt
Yesterday Karmin:Yesterday.txt
A_Little_More Kaskade:A_Little_More.txt
Choose_Your_Battles Katy_Perry:Choose_Your_Battles.txt
Dark_Horse Katy_Perry:Dark_Horse.txt
It_Takes_Two Katy_Perry:It_Takes_Two.txt
Roar Katy_Perry:Roar.txt
This_Is_How_We_Do Katy_Perry:This_Is_How_We_Do.txt
Heartbeat_Song Kelly_Clarkson:Heartbeat_Song.txt
Invincible Kelly_Clarkson:Invincible.txt
Piece_By_Piece Kelly_Clarkson:Piece_By_Piece.txt
Run_Run_Run Kelly_Clarkson:Run_Run_Run.txt
Take_You_High Kelly_Clarkson:Take_You_High.txt
American_Kids Kenny_Chesney:American_Kids.txt
Lover Kesha:Lover.txt
This_Is_My_Wish Kevin_Ross:This_Is_My_Wish.txt
Do_That_For Keyshia_Cole:Do_That_For.txt
Love_Letter Keyshia_Cole:Love_Letter.txt
New_Nu Keyshia_Cole:New_Nu.txt
N.L.U Keyshia_Cole:N.L.U.txt
Party_Ain't_A_Party Keyshia_Cole:Party_Ain't_A_Party.txt
Blunted Kid_Ink:Blunted.txt
Ain't_Enough_Whiskey Kid_Rock:Ain't_Enough_Whiskey.txt
Jesus_And_Bocephus Kid_Rock:Jesus_And_Bocephus.txt
Bad_Thing Kiesza:Bad_Thing.txt
Cut_Me_Loose Kiesza:Cut_Me_Loose.txt
Giant_In_My_Heart Kiesza:Giant_In_My_Heart.txt
No_Enemiesz Kiesza:No_Enemiesz.txt
Over_Myself Kiesza:Over_Myself.txt
Piano Kiesza:Piano.txt
Sound_Of_A_Woman Kiesza:Sound_Of_A_Woman.txt
The_Love Kiesza:The_Love.txt
Vietnam Kiesza:Vietnam.txt
Joel,_The_Lump_Of_Coal Killers:Joel,_The_Lump_Of_Coal.txt
Say_Goodbye Krewella:Say_Goodbye.txt
Radio Kristinia_Debarge:Radio.txt
Walk Kwabs:Walk.txt
Jealous Labrinth:Jealous.txt
Bartender Lady_Antebellum:Bartender.txt
Damn_You_Seventeen Lady_Antebellum:Damn_You_Seventeen.txt
Down_South Lady_Antebellum:Down_South.txt
I_Did_With_You Lady_Antebellum:I_Did_With_You.txt
Just_A_Girl Lady_Antebellum:Just_A_Girl.txt
Long_Strech_Of_Love Lady_Antebellum:Long_Strech_Of_Love.txt
One_Great_Mystery Lady_Antebellum:One_Great_Mystery.txt
She_Is Lady_Antebellum:She_Is.txt
It_Don't_Mean_A_Thing Lady_GaGa:It_Don't_Mean_A_Thing.txt
Big_Eyes Lana_Del_Rey:Big_Eyes.txt
Born_Bad_Baby Lana_Del_Rey:Born_Bad_Baby.txt
I_Can_Fly Lana_Del_Rey:I_Can_Fly.txt
Old_Money Lana_Del_Rey:Old_Money.txt
Riverside Lana_Del_Rey:Riverside.txt
West_Coast Lana_Del_Rey:West_Coast.txt
Drinking_Class Lee_Brice:Drinking_Class.txt
The_Chamber Lenny_Kravitz:The_Chamber.txt
Intertwine Lil_Twist:Intertwine.txt
Gotti Lil_Wayne:Gotti.txt
Grindin Lil_Wayne:Grindin.txt
Moment Lil_Wayne:Moment.txt
Off_Day Lil_Wayne:Off_Day.txt
Start_A_Fire Lil_Wayne:Start_A_Fire.txt
Take_Kare Lil_Wayne:Take_Kare.txt
Final_Masquerade Linkin_Park:Final_Masquerade.txt
Girl_Crush Little_Big_Town:Girl_Crush.txt
Yellow_Flicker_Beat Lorde:Yellow_Flicker_Beat.txt
The_United_Rocking_Dead Lordi:The_United_Rocking_Dead.txt
Paper_Light_(Higher) Loreen:Paper_Light_(Higher).txt
Mistletoe Lucy_Hale:Mistletoe.txt
She_Get_Me_High Luke_Bryan:She_Get_Me_High.txt
Bad_News Luke_James:Bad_News.txt
Love_XYZ Luke_James:Love_XYZ.txt
Adoration_Of_The_Magi Lupe_Fiasco:Adoration_Of_The_Magi.txt
Holes_In_The_Sky M83:Holes_In_The_Sky.txt
Fly Maddie_&amp;_Tae:Fly.txt
Back_That_Up Madonna:Back_That_Up.txt
Beautiful_Scars Madonna:Beautiful_Scars.txt
Devil_Pray Madonna:Devil_Pray.txt
Ghosttown Madonna:Ghosttown.txt
God_Is_Love Madonna:God_Is_Love.txt
Holy_Water Madonna:Holy_Water.txt
Illuminati Madonna:Illuminati.txt
Inside_Out Madonna:Inside_Out.txt
Joan_Of_Arc Madonna:Joan_Of_Arc.txt
Living_For_Love Madonna:Living_For_Love.txt
Rebel_Heart Madonna:Rebel_Heart.txt
Tragic_Girl Madonna:Tragic_Girl.txt
Unapologetic_Bitch Madonna:Unapologetic_Bitch.txt
Wash_All_Over_Me Madonna:Wash_All_Over_Me.txt
I_Would Magic:I_Would.txt
Birds_Of_Hell_Awaiting Marilyn_Manson:Birds_Of_Hell_Awaiting.txt
Cupid_Carries_A_Gun Marilyn_Manson:Cupid_Carries_A_Gun.txt
Third_Day_Of_A_Seven_Day_Binge Marilyn_Manson:Third_Day_Of_A_Seven_Day_Binge.txt
Better_Than_That Marina_And_The_Diamonds:Better_Than_That.txt
Blue Marina_And_The_Diamonds:Blue.txt
Can't_Pin_Me_Down Marina_And_The_Diamonds:Can't_Pin_Me_Down.txt
Forget Marina_And_The_Diamonds:Forget.txt
Froot Marina_And_The_Diamonds:Froot.txt
Happy Marina_And_The_Diamonds:Happy.txt
Immortal Marina_And_The_Diamonds:Immortal.txt
Savages Marina_And_The_Diamonds:Savages.txt
Solitaire Marina_And_The_Diamonds:Solitaire.txt
Weeds Marina_And_The_Diamonds:Weeds.txt
Crack_In_The_Pearl_Part_2 Mark_Ronson:Crack_In_The_Pearl_Part_2.txt
Crack_In_The_Pearl Mark_Ronson:Crack_In_The_Pearl.txt
Heavy_And_Rolling Mark_Ronson:Heavy_And_Rolling.txt
I_Can't_Lose Mark_Ronson:I_Can't_Lose.txt
In_Case_Of_Fire Mark_Ronson:In_Case_Of_Fire.txt
Leaving_Los_Feliz Mark_Ronson:Leaving_Los_Feliz.txt
Summer_Breaking Mark_Ronson:Summer_Breaking.txt
Uptown_Funk Mark_Ronson:Uptown_Funk.txt
Animals_Remix Maroon_5:Animals_Remix.txt
Animals Maroon_5:Animals.txt
Maps Maroon_5:Maps.txt
My_Heart_Is_Open Maroon_5:My_Heart_Is_Open.txt
Sugar Maroon_5:Sugar.txt
Unkiss_Me Maroon_5:Unkiss_Me.txt
Don't_Look_Down Martin_Garrix:Don't_Look_Down.txt
Gold_Skies Martin_Garrix:Gold_Skies.txt
Doubt Mary_J_Blige:Doubt.txt
When_You're_Gone Mary_J_Blige:When_You're_Gone.txt
Dear_One Mary_Lambert:Dear_One.txt
Summertime_Girls Masketta_Fall:Summertime_Girls.txt
What_Happened_To_Your_Band McBusted:What_Happened_To_Your_Band.txt
3AM Meghan_Trainor:3AM.txt
All_About_That_Bass Meghan_Trainor:All_About_That_Bass.txt
Dear_Future_Husband Meghan_Trainor:Dear_Future_Husband.txt
Lips_Are_Moving Meghan_Trainor:Lips_Are_Moving.txt
Lips_Are_Movin Meghan_Trainor:Lips_Are_Movin.txt
The_Best_Part Meghan_Trainor:The_Best_Part.txt
Title Meghan_Trainor:Title.txt
Can_See_Can_Do M.I.A.:Can_See_Can_Do.txt
Mourning_Doves Mikky_Ekko:Mourning_Doves.txt
Times_Like_These Mila_J:Times_Like_These.txt
23 Miley_Cyrus:23.txt
We_Can't_Stop Miley_Cyrus:We_Can't_Stop.txt
Wrecking_Ball Miley_Cyrus:Wrecking_Ball.txt
Stolen_Dance Milky_Chance:Stolen_Dance.txt
Automatic Miranda_Lambert:Automatic.txt
